측정시간,설비ID,센서위치,RMS_velocity_mm_s,Peak_acceleration_g,Kurtosis,Crest_factor,온도_C,RPM,상태
2024-01-01 00:00:00,PUMP-001,Housing,1.8769655212232368,1.4390676478232434,4.112336221713458,5.526823449021787,50.50510611225907,1498.8207041596522,주의
2024-01-01 00:01:00,FAN-001,Housing,2.0165051955101423,1.4574273324382303,3.4676884134774033,5.562531255617021,47.96106012501521,1478.933815264236,주의
2024-01-01 00:02:00,MOTOR-001,Housing,1.0182921137941596,1.6928612072596518,3.5047447275377848,5.143901540182341,43.08535906046378,1497.430878351993,정상
2024-01-01 00:03:00,PUMP-001,NDE_Bearing,1.4602106880362407,1.1580866043661866,3.800482832942802,3.5799257474648862,43.09006277748492,1489.4582983547566,주의
2024-01-01 00:04:00,PUMP-001,Housing,1.7897741884416303,1.3831113603497045,3.0980357961285394,3.470040788069835,41.872592249841816,1472.3502750572943,주의
2024-01-01 00:05:00,FAN-001,DE_Bearing,1.1269106266864473,1.695262031789473,4.628397361964507,5.7649855356388695,39.55422632669473,1475.60827953542,주의
2024-01-01 00:06:00,MOTOR-001,Housing,1.2670323472525835,1.5549737866649085,5.585592076061532,3.8030227452157934,45.92790405465691,1518.0717305751216,주의
2024-01-01 00:07:00,MOTOR-001,DE_Bearing,1.5202497576767693,2.1730596573797945,3.5173872476422035,3.748137079324068,46.34393648646691,1492.08243811241,주의
2024-01-01 00:08:00,PUMP-001,Housing,1.5515031970476831,1.0611529781966333,4.376780211504211,3.508836121513774,48.511581380840795,1504.4656236462995,주의
2024-01-01 00:09:00,MOTOR-002,Housing,1.8096940715229006,1.4598628694893203,3.8311861762650334,4.594117024219112,44.01553359488667,1493.1132781920624,주의
2024-01-01 00:10:00,PUMP-001,DE_Bearing,1.187495011771508,1.3414849486217215,3.308376963580063,5.044051873644878,48.39684935974809,1472.4237259086633,주의
2024-01-01 00:11:00,PUMP-001,Housing,2.4427041328579246,1.2974934663947526,3.1132958419940753,5.042847848642848,50.98150616970427,1535.6888300075395,주의
2024-01-01 00:12:00,PUMP-001,Housing,1.551648506985201,1.6416678724009348,3.3292296240701096,3.7988250238999135,54.88670185282054,1507.9427441168907,주의
2024-01-01 00:13:00,PUMP-001,Housing,1.7642826431283818,1.431451434370223,3.979541406112434,3.301326057674424,41.1000161438786,1520.8135034401093,주의
2024-01-01 00:14:00,FAN-001,NDE_Bearing,1.4402758899345331,1.016953479716873,3.095877559140759,3.9489005507188617,52.03738181661795,1512.5561559710266,주의
2024-01-01 00:15:00,MOTOR-001,DE_Bearing,1.8312639564410027,1.8355968288062567,4.867773363525478,4.529877963712188,47.462961744747524,1497.3434465776754,주의
2024-01-01 00:16:00,FAN-001,Housing,3.2380005824444775,1.6531077381818062,6.579440066113557,4.858194409862786,47.1187323059984,1485.282356649382,경고
2024-01-01 00:17:00,FAN-001,DE_Bearing,1.4389059473058372,2.145335978207565,3.153718618387938,3.833975536991603,43.86238226719774,1451.7010160344423,주의
2024-01-01 00:18:00,FAN-001,DE_Bearing,1.3495194506322201,1.7258422962490805,3.35370982131521,3.5729488490193813,51.629440840523735,1440.4118914105395,주의
2024-01-01 00:19:00,PUMP-001,DE_Bearing,1.2076349061471623,1.3156463443078585,4.200197279193245,5.549499014619373,47.162845115345505,1525.0224187861995,주의
2024-01-01 00:20:00,MOTOR-002,Housing,1.635935746581021,1.3211521567576805,4.718518965209392,5.5998470356373335,39.53229338416041,1530.5510763963462,주의
2024-01-01 00:21:00,MOTOR-001,Housing,1.6297912677834687,1.8965254674793193,3.5067356727115753,3.86723444438726,37.18090903897593,1538.1621356960188,주의
2024-01-01 00:22:00,MOTOR-002,DE_Bearing,1.7116597127820534,1.129686720871474,3.8100808377954407,4.708999443452231,46.12139614877667,1496.7333324057672,주의
2024-01-01 00:23:00,FAN-001,NDE_Bearing,2.0182995701738196,1.0888550707531932,5.313264175098723,4.349434518378867,48.2928047139531,1479.846168728146,주의
2024-01-01 00:24:00,FAN-001,DE_Bearing,1.921797181526112,1.5046142600470245,3.5788998431345505,3.4571498293402465,42.52607243445194,1518.237416205405,주의
2024-01-01 00:25:00,MOTOR-002,NDE_Bearing,1.6664754340127448,0.9273170376344775,3.1826754084486213,5.854298806209775,44.10996983515,1536.6389778419104,주의
2024-01-01 00:26:00,MOTOR-002,DE_Bearing,3.6359438213228987,1.566381864403455,8.378855194847977,3.0631795945074765,51.08498297945291,1551.6180471384453,경고
2024-01-01 00:27:00,MOTOR-002,DE_Bearing,2.208475292577801,1.6243542082774816,3.3041532165977987,3.5978492794398838,44.27050403374395,1491.0596732917734,주의
2024-01-01 00:28:00,FAN-001,DE_Bearing,1.1028162496237837,1.32649470655658,3.1592364678306057,4.073102981456226,48.366400170853545,1528.2971480688516,정상
2024-01-01 00:29:00,FAN-001,Housing,0.9263191359453237,2.134785247288877,3.641825794399503,5.6070786475577705,43.30559823284529,1514.289639736154,정상
2024-01-01 00:30:00,MOTOR-001,NDE_Bearing,1.2872273445552442,1.97139343974524,3.2464381976567243,5.404941097658896,51.647012120500776,1501.5193051906847,주의
2024-01-01 00:31:00,MOTOR-001,NDE_Bearing,1.7927989424568285,1.1493276542704003,6.971408392505728,4.779916064610799,47.57353609531549,1480.6637852939252,주의
2024-01-01 00:32:00,FAN-001,DE_Bearing,1.248621169035854,1.726428600316411,3.603955324583257,5.126608962694113,46.574693979185824,1538.1981821790462,주의
2024-01-01 00:33:00,MOTOR-002,Housing,1.3255034910734558,1.8993416962989902,4.876095361124514,4.065561537605973,52.87281064390769,1534.9063844858986,주의
2024-01-01 00:34:00,MOTOR-002,Housing,1.7101078864820152,1.4720077528105233,3.326637018650245,5.865730406508071,38.81049167466607,1495.2866879910744,주의
2024-01-01 00:35:00,MOTOR-001,NDE_Bearing,1.4833222570463651,1.276612370701823,3.2855949968060347,3.1257449817027263,49.256982490228324,1522.5277830528148,주의
2024-01-01 00:36:00,FAN-001,Housing,0.7734759270257866,1.0612081256714574,4.187780756650829,3.3494447710612905,38.3520464180498,1518.4896547279475,정상
2024-01-01 00:37:00,MOTOR-001,NDE_Bearing,2.5846493062769795,1.2375803769614282,5.544107464853912,5.824594092062848,46.72604215148256,1519.0766530384255,주의
2024-01-01 00:38:00,MOTOR-001,NDE_Bearing,2.360903639662028,1.0727906460096368,3.2692578802838175,5.88435950857822,46.542919110649756,1472.3467168522266,주의
2024-01-01 00:39:00,PUMP-001,NDE_Bearing,1.0365246702988087,1.8758420644449434,4.041204565157651,4.5221878072827195,48.03287646014469,1472.414306547358,정상
